agency,channel_id,num_videos,channel_handle,channel_url
FDA,UC_giJ3xlEL9jUF1YfJdzzuQ,200,@US_FDA,https://www.youtube.com/@US_FDA
IRS,UCcWZOFh3l-1LC7UvhdCXxQg,200,@IRSvideos,https://www.youtube.com/@IRSvideos
FEMA,UCVrYey5SZMid_VZk9D8tYmA,200,@fema,https://www.youtube.com/@fema
USGS,UCeXH8GZyV3sVqAr45AvupOA,200,@USGS,https://www.youtube.com/@USGS
WhiteHouse,UCYxRlFDqcWM4y7FfpiAN3KQ,200,@WhiteHouse,https://www.youtube.com/@WhiteHouse
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,200,@NASA,https://www.youtube.com/@NASA
NOAA,UCe9IxQeBttZIYl5c43ycf9g,141,@NOAA,https://www.youtube.com/@NOAA
USCIS,UChm7CIhH8gLOH3YTP6HM0Hg,114,@USCIS,https://www.youtube.com/@USCIS
EPA,UCitNQQrnnCl19ECgToik0RQ,49,@EPA,https://www.youtube.com/@EPA
NIH,UCcTKzTCQAhW4mpGPyO70mWg,6,@NIH,https://www.youtube.com/@NIH
DOT,UCLmK70CmEA52OC9zdswUz5A,2,@USDOT,https://www.youtube.com/@USDOT
